mssv,ho_ten,ngay_sinh,khoa,nganh,tin_chi_tich_luy,tin_chi_yeu_cau,gpa_tich_luy,xep_loai_hoc_luc,diem_ren_luyen,chuandau_ngoai_ngu,chuandau_tin_hoc,chung_chi_gdqp_gddt,no_hoc_phi,ky_luat,ket_qua_xet_tot_nghiep,ly_do_chi_tiet
201A000128,Nguyen Quoc Dung,2002-07-01,Kinh te,Quan tri Kinh doanh,128,128,3.36,Gioi,55,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000129,Trinh Thanh Linh,2002-03-01,Du lich,Quan tri Khach san,121,124,3.55,Gioi,82,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 3 tin chi tich luy
201A000130,Pham Gia Giang,2002-03-31,Kinh te,Luat Kinh te,128,128,2.95,Kha,92,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000131,Vu Phuong Bich,2002-05-29,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.76,Xuat sac,68,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000132,Phan Nhat Lam,2002-02-06,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.74,Xuat sac,90,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000133,Ly Duc Cuong,2002-04-25,Du lich,Quan tri Khach san,124,124,1.96,Yeu,73,Dat,Dat,Dat,0,1,Khong du dieu kien,GPA tich luy duoi 2.00 (Yeu) | Dang trong thoi gian ky luat cap Truong
201A000134,Truong Thi Mai,2002-08-07,Ngoai ngu,Ngon ngu Trung Quoc,125,125,2.28,Trung binh,79,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000135,Phan Minh An,2002-11-16,Du lich,Quan tri Dich vu Du lich,124,124,2.45,Trung binh,88,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000136,Truong Huu Khoa,2002-03-07,Truyen thong,Quan he Cong chuong,125,126,2.85,Kha,74,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Thieu 1 tin chi tich luy | Chua dat chuan dau ra Tin hoc
201A000137,Tran Truc Thinh,2002-09-26,Kinh te,Quan tri Kinh doanh,128,128,3.72,Xuat sac,86,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000138,Truong Tuyet Khoa,2002-11-12,Truyen thong,Truyen thong Da phuong tien,126,126,1.9,Yeu,86,Dat,Dat,Dat,1,0,Khong du dieu kien,GPA tich luy duoi 2.00 (Yeu) | Con no hoc phi / Chi phi thuat
201A000139,Trinh Gia Giang,2002-01-07,Truyen thong,Truyen thong Da phuong tien,115,126,3.78,Xuat sac,77,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 11 tin chi tich luy | Chua dat chuan dau ra Ngoai ngu
201A000140,Vu Kim Em,2002-01-27,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.55,Gioi,67,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000141,Huynh Ngoc Hang,2002-03-26,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.32,Gioi,78,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000142,Bui Tan Linh,2002-08-15,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.2,Gioi,61,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000143,Le Gia Phong,2002-12-28,Truyen thong,Quan he Cong chuong,123,126,3.9,Xuat sac,60,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 3 tin chi tich luy
201A000144,Cao Ngoc Quang,2002-02-16,Ngoai ngu,Ngon ngu Trung Quoc,125,125,3.87,Xuat sac,58,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000145,Duong Quoc Mai,2002-07-17,Ngoai ngu,Ngon ngu Nhat,125,125,2.25,Trung binh,56,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000146,Tran Nhat Lam,2002-06-11,Cong nghe Thong tin,Cong nghe Thong tin,132,132,2.64,Kha,98,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000147,Mai Tan Mai,2002-01-24,Cong nghe Thong tin,An toan Thong tin,132,132,3.35,Gioi,70,Dat,Dat,Dat,1,0,Khong du dieu kien,Con no hoc phi / Chi phi thuat
201A000148,Ngo Hoang Nam,2002-08-08,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,1.91,Yeu,95,Dat,Dat,Dat,0,0,Khong du dieu kien,GPA tich luy duoi 2.00 (Yeu)
201A000149,Dinh Nhat Cuong,2002-01-08,Cong nghe Thong tin,Cong nghe Thong tin,132,132,3.34,Gioi,71,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000150,Pham Viet Quang,2002-06-28,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.18,Kha,98,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000151,Dinh Quoc Cuong,2002-10-09,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.12,Kha,65,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000152,Huynh Duc Vy,2002-06-13,Cong nghe Thong tin,An toan Thong tin,132,132,3.73,Xuat sac,68,Dat,Dat,Dat,0,1,Khong du dieu kien,Dang trong thoi gian ky luat cap Truong
201A000153,Cao Ngoc Yen,2002-09-14,Cong nghe Thong tin,An toan Thong tin,132,132,2.95,Kha,72,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000154,Ly Tuyet Phong,2002-02-08,Du lich,Quan tri Dich vu Du lich,124,124,2.4,Trung binh,91,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000155,Cao Tan Giang,2002-08-01,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.99,Kha,57,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000156,Le Ngoc Khoa,2002-12-21,Cong nghe Thong tin,An toan Thong tin,132,132,2.8,Kha,74,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000157,Le Huu An,2002-06-07,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.76,Kha,54,Chua dat,Dat,Chua dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu | Thieu chung chi GDQP-AN/GDDT
201A000158,Truong Tuyet Phong,2002-04-27,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,3.08,Kha,73,Chua dat,Dat,Chua dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu | Thieu chung chi GDQP-AN/GDDT
201A000159,Phan Viet Nhi,2002-08-13,Du lich,Quan tri Khach san,121,124,3.87,Xuat sac,67,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 3 tin chi tich luy
201A000160,Nguyen Quoc Thao,2002-05-18,Du lich,Quan tri Dich vu Du lich,124,124,3.92,Xuat sac,85,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000161,Phan Huu Cuong,2002-09-06,Truyen thong,Quan he Cong chuong,126,126,3.05,Kha,87,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000162,Do Tuyet Quang,2002-06-23,Truyen thong,Quan he Cong chuong,126,126,2.63,Kha,98,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000163,Truong Truc Bich,2002-10-04,Du lich,Quan tri Dich vu Du lich,124,124,2.24,Trung binh,75,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000164,Phan Ngoc Thao,2002-04-13,Truyen thong,Quan he Cong chuong,126,126,2.27,Trung binh,50,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000165,Hoang Duc Mai,2002-01-17,Ngoai ngu,Ngon ngu Trung Quoc,125,125,3.56,Gioi,79,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000166,Le Van Dung,2002-07-17,Du lich,Quan tri Khach san,120,124,3.4,Gioi,83,Dat,Dat,Chua dat,0,0,Khong du dieu kien,Thieu 4 tin chi tich luy | Thieu chung chi GDQP-AN/GDDT
201A000167,Pham Ngoc Hang,2002-06-13,Cong nghe Thong tin,Cong nghe Thong tin,132,132,2.29,Trung binh,90,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000168,Duong Truc Cuong,2002-06-07,Truyen thong,Truyen thong Da phuong tien,126,126,2.04,Trung binh,98,Dat,Dat,Chua dat,0,0,Khong du dieu kien,Thieu chung chi GDQP-AN/GDDT
201A000169,Vu Truc Dung,2002-04-26,Kinh te,Luat Kinh te,128,128,2.38,Trung binh,50,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000170,Dang Tan Hang,2002-03-04,Ngoai ngu,Ngon ngu Anh,125,125,3.06,Kha,82,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000171,Hoang Truc Linh,2002-05-30,Cong nghe Thong tin,Khoa hoc Du lieu,125,132,2.68,Kha,91,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Thieu 7 tin chi tich luy | Chua dat chuan dau ra Tin hoc
201A000172,Duong Gia Nhi,2002-07-08,Cong nghe Thong tin,Cong nghe Thong tin,121,132,3.51,Gioi,95,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 11 tin chi tich luy
201A000173,Ngo Viet Yen,2002-01-31,Kinh te,Marketing,128,128,1.95,Yeu,95,Dat,Dat,Dat,0,0,Khong du dieu kien,GPA tich luy duoi 2.00 (Yeu)
201A000174,Truong Van Mai,2002-06-27,Cong nghe Thong tin,Ky thuat Phan mem,132,132,3.9,Xuat sac,90,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000175,Hoang Duc Giang,2002-12-26,Kinh te,Tai chinh Ngan hang,119,128,2.98,Kha,64,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 9 tin chi tich luy
201A000176,Tran Kim Vy,2002-09-25,Kinh te,Tai chinh Ngan hang,128,128,3.54,Gioi,63,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000177,Truong Minh Yen,2002-03-07,Kinh te,Marketing,128,128,2.34,Trung binh,71,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000178,Do Hoang Yen,2002-10-17,Ngoai ngu,Ngon ngu Trung Quoc,115,125,3.18,Kha,97,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 10 tin chi tich luy
201A000179,Tran Thanh Phong,2002-02-16,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.78,Kha,50,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000180,Hoang Truc Thao,2002-07-28,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,2.09,Trung binh,93,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000181,Pham Gia Mai,2002-05-03,Du lich,Quan tri Khach san,124,124,2.84,Kha,94,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000182,Cao Thi Thinh,2002-07-16,Kinh te,Marketing,128,128,2.13,Trung binh,67,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000183,Mai Van Lam,2002-04-16,Cong nghe Thong tin,Cong nghe Thong tin,132,132,3.3,Gioi,81,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000184,Pham Tuyet Em,2002-02-08,Truyen thong,Quan he Cong chuong,126,126,2.79,Kha,72,Dat,Dat,Chua dat,1,0,Khong du dieu kien,Thieu chung chi GDQP-AN/GDDT | Con no hoc phi / Chi phi thuat
201A000185,Le Kim Thao,2002-06-27,Du lich,Quan tri Khach san,124,124,3.57,Gioi,87,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000186,Ngo Hoang Quan,2002-06-25,Truyen thong,Truyen thong Da phuong tien,119,126,1.95,Yeu,75,Dat,Dat,Chua dat,0,0,Khong du dieu kien,Thieu 7 tin chi tich luy | GPA tich luy duoi 2.00 (Yeu) | Thieu chung chi GDQP-AN/GDDT
201A000187,Phan Duc Thao,2002-05-04,Truyen thong,Quan he Cong chuong,126,126,3.25,Gioi,57,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000188,Vo Thanh Nhi,2002-06-10,Ky thuat Cong nghe,Cong nghe Ky thuat O to,128,135,1.94,Yeu,77,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 7 tin chi tich luy | GPA tich luy duoi 2.00 (Yeu)
201A000189,Pham Tuyet Linh,2002-09-10,Truyen thong,Truyen thong Da phuong tien,126,126,2.24,Trung binh,68,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000190,Bui Van Linh,2002-05-12,Truyen thong,Truyen thong Da phuong tien,126,126,2.04,Trung binh,82,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000191,Hoang Tan An,2002-12-08,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.63,Kha,61,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000192,Duong Ngoc Hang,2002-11-27,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.73,Kha,80,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000193,Do Viet Mai,2002-12-14,Truyen thong,Quan he Cong chuong,126,126,2.5,Kha,81,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000194,Dang Phuong Nhi,2002-04-06,Truyen thong,Quan he Cong chuong,126,126,2.79,Kha,77,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000195,Vu Thanh Cuong,2002-08-08,Ngoai ngu,Ngon ngu Trung Quoc,125,125,2.06,Trung binh,82,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000196,Vu Duc Linh,2002-11-09,Truyen thong,Truyen thong Da phuong tien,126,126,2.6,Kha,91,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000197,Mai Van Quang,2002-10-09,Kinh te,Marketing,128,128,3.12,Kha,72,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000198,Ly Tan An,2002-03-18,Ngoai ngu,Ngon ngu Anh,125,125,2.74,Kha,80,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000199,Dinh Thi Linh,2002-08-30,Cong nghe Thong tin,An toan Thong tin,130,132,3.37,Gioi,80,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 2 tin chi tich luy
201A000200,Cao Minh Nhi,2002-03-28,Ky thuat Cong nghe,Cong nghe Ky thuat O to,123,135,2.23,Trung binh,86,Dat,Dat,Dat,1,0,Khong du dieu kien,Thieu 12 tin chi tich luy | Con no hoc phi / Chi phi thuat
201A000201,Trinh Truc Linh,2002-06-23,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.62,Xuat sac,85,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000202,Vo Gia Giang,2002-11-27,Ngoai ngu,Ngon ngu Anh,125,125,3.9,Xuat sac,98,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000203,Bui Tan Hang,2002-10-11,Cong nghe Thong tin,An toan Thong tin,132,132,2.03,Trung binh,84,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000204,Truong Quoc Cuong,2002-01-09,Ngoai ngu,Ngon ngu Trung Quoc,125,125,2.35,Trung binh,70,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000205,Do Thi Giang,2002-12-26,Du lich,Quan tri Dich vu Du lich,112,124,2.8,Kha,73,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 12 tin chi tich luy
201A000206,Nguyen Kim Dung,2002-01-23,Kinh te,Tai chinh Ngan hang,128,128,3.13,Kha,96,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000207,Vu Hoang Em,2002-05-01,Truyen thong,Quan he Cong chuong,126,126,3.6,Xuat sac,84,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000208,Do Khanh Hang,2002-02-04,Truyen thong,Truyen thong Da phuong tien,126,126,2.05,Trung binh,98,Dat,Dat,Dat,0,1,Khong du dieu kien,Dang trong thoi gian ky luat cap Truong
201A000209,Le Quoc Cuong,2002-04-04,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.66,Kha,77,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000210,Ngo Gia Thinh,2002-03-09,Ngoai ngu,Ngon ngu Anh,125,125,3.42,Gioi,53,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000211,Truong Viet Em,2002-05-09,Du lich,Quan tri Khach san,124,124,3.22,Gioi,56,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000212,Dang Thi Hang,2002-03-28,Ngoai ngu,Ngon ngu Trung Quoc,116,125,2.36,Trung binh,58,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 9 tin chi tich luy
201A000213,Cao Gia Thinh,2002-06-18,Cong nghe Thong tin,Cong nghe Thong tin,129,132,3.04,Kha,97,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Thieu 3 tin chi tich luy | Chua dat chuan dau ra Tin hoc
201A000214,Ngo Minh Khoa,2002-06-12,Truyen thong,Quan he Cong chuong,126,126,1.88,Yeu,85,Chua dat,Dat,Dat,0,0,Khong du dieu kien,GPA tich luy duoi 2.00 (Yeu) | Chua dat chuan dau ra Ngoai ngu
201A000215,Cao Phuong Dung,2002-11-10,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.11,Kha,71,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000216,Pham Nhat Thao,2002-09-07,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.54,Kha,52,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000217,Pham Hoang Giang,2002-12-14,Cong nghe Thong tin,Cong nghe Thong tin,125,132,3.01,Kha,68,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 7 tin chi tich luy
201A000218,Dinh Tuyet Quang,2002-01-28,Du lich,Quan tri Khach san,124,124,1.91,Yeu,84,Dat,Dat,Dat,0,0,Khong du dieu kien,GPA tich luy duoi 2.00 (Yeu)
201A000219,Cao Tan Yen,2002-02-02,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.88,Kha,54,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000220,Tran Tan An,2002-05-26,Ky thuat Cong nghe,Cong nghe Ky thuat O to,134,135,2.57,Kha,64,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 1 tin chi tich luy
201A000221,Huynh Tuyet Em,2002-01-31,Cong nghe Thong tin,Ky thuat Phan mem,132,132,2.69,Kha,67,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000222,Pham Viet Em,2002-06-03,Du lich,Quan tri Dich vu Du lich,123,124,2.55,Kha,64,Dat,Dat,Chua dat,0,0,Khong du dieu kien,Thieu 1 tin chi tich luy | Thieu chung chi GDQP-AN/GDDT
201A000223,Pham Minh An,2002-10-11,Truyen thong,Quan he Cong chuong,125,126,2.9,Kha,50,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 1 tin chi tich luy
201A000224,Bui Truc Yen,2002-02-20,Cong nghe Thong tin,Cong nghe Thong tin,132,132,3.74,Xuat sac,57,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000225,Cao Tan Vy,2002-01-29,Ngoai ngu,Ngon ngu Nhat,125,125,3.35,Gioi,91,Dat,Dat,Dat,0,1,Khong du dieu kien,Dang trong thoi gian ky luat cap Truong
201A000226,Vo Nhat Lam,2002-05-18,Cong nghe Thong tin,Cong nghe Thong tin,132,132,3.11,Kha,90,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000227,Bui Quoc Lam,2002-11-05,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.72,Xuat sac,76,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000228,Cao Ngoc Phong,2002-05-31,Kinh te,Tai chinh Ngan hang,128,128,1.93,Yeu,79,Chua dat,Dat,Dat,0,0,Khong du dieu kien,GPA tich luy duoi 2.00 (Yeu) | Chua dat chuan dau ra Ngoai ngu
201A000229,Do Thi Yen,2002-01-30,Cong nghe Thong tin,Ky thuat Phan mem,132,132,2.3,Trung binh,73,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000230,Hoang Thi Quang,2002-08-28,Truyen thong,Truyen thong Da phuong tien,121,126,2.43,Trung binh,51,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 5 tin chi tich luy
201A000231,Ly Hoang Bich,2002-04-07,Ky thuat Cong nghe,Cong nghe Ky thuat O to,134,135,2.84,Kha,56,Dat,Dat,Dat,1,0,Khong du dieu kien,Thieu 1 tin chi tich luy | Con no hoc phi / Chi phi thuat
201A000232,Truong Thi Khoa,2002-07-13,Kinh te,Ke toan,123,128,2.75,Kha,59,Dat,Dat,Chua dat,0,0,Khong du dieu kien,Thieu 5 tin chi tich luy | Thieu chung chi GDQP-AN/GDDT
201A000233,Phan Gia Dung,2002-04-17,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,3.51,Gioi,91,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000234,Vo Nhat Mai,2002-02-15,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.35,Trung binh,90,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000235,Duong Huu Em,2002-04-08,Truyen thong,Quan he Cong chuong,126,126,3.57,Gioi,97,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000236,Do Phuong Bich,2002-12-18,Kinh te,Ke toan,128,128,3.67,Xuat sac,94,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000237,Dinh Phuong Cuong,2002-05-01,Cong nghe Thong tin,An toan Thong tin,132,132,3.18,Kha,54,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000238,Ly Truc Thao,2002-07-10,Ngoai ngu,Ngon ngu Trung Quoc,125,125,3.47,Gioi,97,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000239,Cao Kim Yen,2002-04-11,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.64,Kha,98,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000240,Nguyen Gia Quan,2002-09-06,Ngoai ngu,Ngon ngu Anh,125,125,2.71,Kha,60,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000241,Bui Tuyet Vy,2002-07-15,Ngoai ngu,Ngon ngu Nhat,125,125,2.73,Kha,52,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000242,Truong Ngoc Em,2002-03-09,Kinh te,Luat Kinh te,128,128,2.67,Kha,76,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000243,Duong Tuyet An,2002-08-22,Cong nghe Thong tin,Ky thuat Phan mem,132,132,3.38,Gioi,69,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000244,Phan Huu Bich,2002-01-26,Truyen thong,Quan he Cong chuong,126,126,2.35,Trung binh,72,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000245,Pham Kim Thinh,2002-02-12,Kinh te,Quan tri Kinh doanh,117,128,2.41,Trung binh,89,Dat,Dat,Dat,1,0,Khong du dieu kien,Thieu 11 tin chi tich luy | Con no hoc phi / Chi phi thuat
201A000246,Ly Van Bich,2002-08-28,Ngoai ngu,Ngon ngu Anh,125,125,3.74,Xuat sac,88,Dat,Dat,Dat,0,1,Khong du dieu kien,Dang trong thoi gian ky luat cap Truong
201A000247,Nguyen Tan Bich,2002-06-16,Truyen thong,Quan he Cong chuong,126,126,3.81,Xuat sac,83,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000248,Huynh Duc Thao,2002-04-26,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,3.39,Gioi,96,Dat,Dat,Dat,1,0,Khong du dieu kien,Con no hoc phi / Chi phi thuat
201A000249,Duong Hoang Giang,2002-02-13,Cong nghe Thong tin,An toan Thong tin,132,132,2.44,Trung binh,73,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000250,Tran Ngoc Phong,2002-10-01,Truyen thong,Truyen thong Da phuong tien,126,126,2.11,Trung binh,70,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000251,Cao Ngoc Thao,2002-07-12,Ngoai ngu,Ngon ngu Anh,125,125,2.69,Kha,57,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000252,Truong Kim Nam,2002-11-07,Truyen thong,Truyen thong Da phuong tien,126,126,3.85,Xuat sac,67,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000253,Nguyen Viet Lam,2002-07-30,Ngoai ngu,Ngon ngu Trung Quoc,118,125,3.79,Xuat sac,84,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 7 tin chi tich luy
201A000254,Ly Kim Dung,2002-04-12,Kinh te,Marketing,128,128,2.54,Kha,85,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000255,Dinh Huu Nhi,2002-01-11,Ngoai ngu,Ngon ngu Anh,125,125,3.82,Xuat sac,57,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
