STT,Mã sinh viên,Họ và tên,Lớp,Ngành học,Điểm CPA,Xếp loại tốt nghiệp,Chuẩn Ngoại ngữ,Chuẩn Tin học,GDQP & GDTC,Trạng thái xét
141,221VHU0141,Lê Thị Sơn,221KẾ02,Kế toán,3.42,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
142,221VHU0142,Võ Đức Thảo,221QU02,Quản trị kinh doanh,2.89,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
143,221VHU0143,Huỳnh Gia Quân,221KỸ02,Kỹ thuật phần mềm,3.09,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
144,221VHU0144,Phạm Phương Quân,221KẾ03,Kế toán,3.71,Xuất sắc,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
145,221VHU0145,Dương Gia Tâm,221NG03,Ngôn ngữ Anh,3.5,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
146,221VHU0146,Dương Ánh Anh,221NG03,Ngôn ngữ Anh,2.23,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
147,221VHU0147,Vũ Tuấn Uyên,221QU03,Quản trị kinh doanh,3.56,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
148,221VHU0148,Nguyễn Hoàng Hùng,221QU01,Quản trị kinh doanh,2.56,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
149,221VHU0149,Huỳnh Ngọc Khoa,221TÀ01,Tài chính - Ngân hàng,2.43,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
150,221VHU0150,Phan Ngọc Vinh,221QU01,Quản trị kinh doanh,2.46,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
151,221VHU0151,Vũ Đức Hương,221QU01,Quản trị dịch vụ du lịch và lữ hành,2.69,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
152,221VHU0152,Lý Ánh Anh,221NG03,Ngôn ngữ Nhật,3.87,Xuất sắc,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
153,221VHU0153,Bùi Ngọc Tâm,221KẾ02,Kế toán,2.96,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
154,221VHU0154,Vũ Phương Tâm,221TH03,Thiết kế đồ họa,2.11,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
155,221VHU0155,Trần Thu Linh,221MA01,Marketing,3.68,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
156,221VHU0156,Dương Quang Uyên,221CÔ03,Công nghệ thông tin,2.02,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
157,221VHU0157,Phạm Quang Linh,221QU01,Quản trị dịch vụ du lịch và lữ hành,3.68,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
158,221VHU0158,Võ Ngọc Thảo,221TÀ01,Tài chính - Ngân hàng,2.71,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
159,221VHU0159,Ngô Hoàng Yến,221TÀ02,Tài chính - Ngân hàng,2.71,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
160,221VHU0160,Huỳnh Ánh Em,221QU01,Quản trị dịch vụ du lịch và lữ hành,3.34,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
161,221VHU0161,Ngô Khánh Mai,221QU02,Quản trị kinh doanh,2.28,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
162,221VHU0162,Nguyễn Thành Nam,221NG02,Ngôn ngữ Anh,2.26,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
163,221VHU0163,Đặng Minh Sơn,221QU01,Quản trị dịch vụ du lịch và lữ hành,2.09,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
164,221VHU0164,Phan Khánh Hùng,221NG03,Ngôn ngữ Anh,3.64,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
165,221VHU0165,Bùi Minh Linh,221TÀ01,Tài chính - Ngân hàng,3.09,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
166,221VHU0166,Ngô Thị Linh,221ĐÔ02,Đông phương học,3.88,Xuất sắc,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
167,221VHU0167,Đỗ Quang Tuấn,221NG01,Ngôn ngữ Nhật,2.95,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
168,221VHU0168,Hồ Ánh Huy,221NG03,Ngôn ngữ Anh,3.23,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
169,221VHU0169,Bùi Gia Trang,221QU01,Quản trị dịch vụ du lịch và lữ hành,3.11,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
170,221VHU0170,Bùi Đức Khoa,221TÀ03,Tài chính - Ngân hàng,3.27,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
171,221VHU0171,Hồ Minh Nga,221TÀ02,Tài chính - Ngân hàng,3.46,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
172,221VHU0172,Huỳnh Thành Anh,221TH03,Thiết kế đồ họa,3.42,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
173,221VHU0173,Lê Đức Phúc,221MA03,Marketing,2.2,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
174,221VHU0174,Trần Văn Yến,221MA02,Marketing,3.02,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
175,221VHU0175,Hoàng Thị Trang,221MA02,Marketing,2.6,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
176,221VHU0176,Hoàng Thành Quân,221TH02,Thiết kế đồ họa,2.06,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
177,221VHU0177,Lý Ngọc Sơn,221KẾ03,Kế toán,3.07,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
178,221VHU0178,Dương Tuấn Vinh,221ĐÔ02,Đông phương học,3.71,Xuất sắc,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
179,221VHU0179,Lý Thu Hương,221KỸ02,Kỹ thuật phần mềm,2.86,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
180,221VHU0180,Hoàng Minh Anh,221CÔ02,Công nghệ thông tin,3.02,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
181,221VHU0181,Lý Thu Anh,221TÂ01,Tâm lý học,3.8,Xuất sắc,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
182,221VHU0182,Ngô Phương Huy,221QU01,Quản trị dịch vụ du lịch và lữ hành,2.45,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
183,221VHU0183,Ngô Thu Nam,221MA02,Marketing,2.49,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
184,221VHU0184,Vũ Minh Châu,221MA02,Marketing,3.22,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
185,221VHU0185,Võ Gia Hải,221KỸ03,Kỹ thuật phần mềm,2.36,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
186,221VHU0186,Dương Ánh Nga,221KẾ02,Kế toán,3.37,Giỏi,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
187,221VHU0187,Nguyễn Thành Bình,221NG02,Ngôn ngữ Nhật,2.04,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
188,221VHU0188,Hoàng Hoàng Nga,221TÂ01,Tâm lý học,2.02,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
189,221VHU0189,Lý Đức Khoa,221MA02,Marketing,2.61,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
190,221VHU0190,Trần Quang Châu,221TH03,Thiết kế đồ họa,2.11,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
191,221VHU0191,Lý Thành Hải,221KẾ03,Kế toán,3.59,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
192,221VHU0192,Vũ Gia Yến,221NG02,Ngôn ngữ Anh,2.48,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
193,221VHU0193,Phạm Thu Tuấn,221QU02,Quản trị kinh doanh,2.92,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
194,221VHU0194,Huỳnh Tuấn Vinh,221CÔ02,Công nghệ thông tin,3.45,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
195,221VHU0195,Lý Tuấn Huy,221QU01,Quản trị kinh doanh,2.7,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
196,221VHU0196,Vũ Tuấn Nam,221TÀ02,Tài chính - Ngân hàng,2.03,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
197,221VHU0197,Vũ Văn Bình,221QU02,Quản trị dịch vụ du lịch và lữ hành,3.53,Giỏi,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
198,221VHU0198,Lê Đức Phúc,221NG03,Ngôn ngữ Anh,2.18,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
199,221VHU0199,Trần Văn Linh,221ĐÔ01,Đông phương học,2.3,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
200,221VHU0200,Lý Đức Khoa,221NG03,Ngôn ngữ Nhật,3.54,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
201,221VHU0201,Phan Văn Uyên,221MA01,Marketing,2.7,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
202,221VHU0202,Lý Hoàng Nga,221NG01,Ngôn ngữ Nhật,2.57,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
203,221VHU0203,Huỳnh Thu Linh,221TÀ01,Tài chính - Ngân hàng,3.43,Giỏi,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
204,221VHU0204,Hoàng Ngọc Huy,221KẾ03,Kế toán,3.06,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
205,221VHU0205,Hồ Hoàng Phúc,221CÔ02,Công nghệ thông tin,3.21,Giỏi,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
206,221VHU0206,Lê Tuấn Sơn,221MA03,Marketing,2.37,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
207,221VHU0207,Hoàng Ánh Huy,221TÀ01,Tài chính - Ngân hàng,2.8,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
208,221VHU0208,Lê Văn Em,221TH02,Thiết kế đồ họa,3.7,Xuất sắc,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
209,221VHU0209,Phan Thị Bình,221QU03,Quản trị dịch vụ du lịch và lữ hành,3.25,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
210,221VHU0210,Võ Văn Linh,221QU01,Quản trị kinh doanh,3.18,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
211,221VHU0211,Lý Khánh Châu,221NG03,Ngôn ngữ Anh,3.56,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
212,221VHU0212,Ngô Khánh Linh,221TÂ03,Tâm lý học,2.11,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
213,221VHU0213,Trần Hoàng Châu,221KẾ01,Kế toán,2.15,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
214,221VHU0214,Vũ Thu Mai,221QU03,Quản trị kinh doanh,2.38,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
215,221VHU0215,Huỳnh Thu Vinh,221NG03,Ngôn ngữ Nhật,2.81,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
216,221VHU0216,Dương Hoàng Tuấn,221MA03,Marketing,3.72,Xuất sắc,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
217,221VHU0217,Hồ Thu Khoa,221ĐÔ02,Đông phương học,2.31,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
218,221VHU0218,Bùi Thu Khoa,221TÀ03,Tài chính - Ngân hàng,2.8,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
219,221VHU0219,Bùi Ánh Hương,221QU02,Quản trị dịch vụ du lịch và lữ hành,3.06,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
220,221VHU0220,Dương Ngọc Mai,221CÔ03,Công nghệ thông tin,3.42,Giỏi,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
221,221VHU0221,Hoàng Minh Anh,221KẾ01,Kế toán,3.92,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
222,221VHU0222,Võ Thu Quân,221NG01,Ngôn ngữ Nhật,3.11,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
223,221VHU0223,Trần Ngọc Linh,221TH01,Thiết kế đồ họa,2.27,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
224,221VHU0224,Võ Phương Huy,221KỸ03,Kỹ thuật phần mềm,3.11,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
225,221VHU0225,Lê Hoàng Khoa,221NG03,Ngôn ngữ Anh,2.34,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
226,221VHU0226,Đặng Văn Vinh,221QU02,Quản trị dịch vụ du lịch và lữ hành,2.74,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
227,221VHU0227,Ngô Gia Dũng,221QU03,Quản trị kinh doanh,3.46,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
228,221VHU0228,Hồ Văn Huy,221NG02,Ngôn ngữ Nhật,2.08,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
229,221VHU0229,Vũ Thành Bình,221ĐÔ03,Đông phương học,3.43,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
230,221VHU0230,Lê Đức Nam,221KẾ02,Kế toán,3.53,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
231,221VHU0231,Lê Ngọc Tâm,221TÂ01,Tâm lý học,2.1,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
232,221VHU0232,Hồ Thu Nam,221TÂ03,Tâm lý học,2.25,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
233,221VHU0233,Phan Ngọc Mai,221ĐÔ01,Đông phương học,3.11,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
234,221VHU0234,Lê Minh Yến,221MA01,Marketing,2.63,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
235,221VHU0235,Ngô Gia Linh,221TÀ02,Tài chính - Ngân hàng,2.37,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
236,221VHU0236,Huỳnh Quang Thảo,221NG01,Ngôn ngữ Anh,3.22,Giỏi,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
237,221VHU0237,Phan Tuấn Linh,221TH03,Thiết kế đồ họa,3.48,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
238,221VHU0238,Trần Đức Thảo,221TH02,Thiết kế đồ họa,3.69,Xuất sắc,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
239,221VHU0239,Phạm Minh Nga,221NG01,Ngôn ngữ Anh,2.04,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
240,221VHU0240,Võ Thu Phong,221QU02,Quản trị dịch vụ du lịch và lữ hành,3.42,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
241,221VHU0241,Trần Minh Phúc,221CÔ01,Công nghệ thông tin,2.55,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
242,221VHU0242,Dương Tuấn Anh,221KỸ01,Kỹ thuật phần mềm,2.76,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
243,221VHU0243,Nguyễn Minh Trang,221MA02,Marketing,2.45,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
244,221VHU0244,Lý Khánh Thảo,221NG03,Ngôn ngữ Nhật,2.17,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
245,221VHU0245,Nguyễn Văn Hương,221NG03,Ngôn ngữ Nhật,2.59,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
246,221VHU0246,Huỳnh Văn Linh,221ĐÔ01,Đông phương học,2.69,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
247,221VHU0247,Võ Phương Bình,221ĐÔ03,Đông phương học,2.5,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
248,221VHU0248,Võ Đức Em,221TÀ01,Tài chính - Ngân hàng,3.75,Xuất sắc,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
249,221VHU0249,Hồ Thu Tuấn,221QU02,Quản trị dịch vụ du lịch và lữ hành,3.7,Xuất sắc,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
250,221VHU0250,Vũ Ánh Em,221MA02,Marketing,3.89,Xuất sắc,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
251,221VHU0251,Hoàng Đức Trang,221TH01,Thiết kế đồ họa,3.13,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
252,221VHU0252,Đặng Hoàng Uyên,221NG03,Ngôn ngữ Nhật,3.77,Xuất sắc,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
253,221VHU0253,Huỳnh Quang Châu,221NG01,Ngôn ngữ Nhật,3.04,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
254,221VHU0254,Bùi Khánh Em,221TÂ02,Tâm lý học,2.06,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
255,221VHU0255,Đặng Ngọc Vinh,221ĐÔ01,Đông phương học,3.82,Xuất sắc,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
256,221VHU0256,Phạm Thành Phúc,221CÔ03,Công nghệ thông tin,3.49,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
257,221VHU0257,Vũ Ánh Hương,221QU03,Quản trị kinh doanh,3.34,Giỏi,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
258,221VHU0258,Lý Thành Quân,221QU01,Quản trị dịch vụ du lịch và lữ hành,2.91,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
259,221VHU0259,Hồ Ngọc Phong,221TH02,Thiết kế đồ họa,2.32,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
260,221VHU0260,Nguyễn Minh Nam,221QU01,Quản trị kinh doanh,3.45,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
261,221VHU0261,Huỳnh Ngọc Thảo,221NG02,Ngôn ngữ Anh,3.34,Giỏi,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
262,221VHU0262,Hồ Phương Bình,221QU02,Quản trị dịch vụ du lịch và lữ hành,3.43,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
263,221VHU0263,Trần Thu Dũng,221NG03,Ngôn ngữ Anh,2.89,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
264,221VHU0264,Hồ Hoàng Bình,221NG01,Ngôn ngữ Nhật,2.76,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
265,221VHU0265,Đặng Ngọc Mai,221KẾ01,Kế toán,3.51,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
266,221VHU0266,Ngô Minh Thảo,221CÔ03,Công nghệ thông tin,3.35,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
267,221VHU0267,Dương Thị Vinh,221NG02,Ngôn ngữ Nhật,2.22,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
268,221VHU0268,Ngô Quang Nga,221CÔ02,Công nghệ thông tin,2.35,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
269,221VHU0269,Lê Minh Khoa,221TÂ03,Tâm lý học,3.26,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
270,221VHU0270,Phạm Thị Dũng,221TÂ03,Tâm lý học,2.88,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
271,221VHU0271,Hồ Hoàng Quân,221QU01,Quản trị dịch vụ du lịch và lữ hành,3.85,Xuất sắc,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
272,221VHU0272,Huỳnh Quang Tâm,221ĐÔ01,Đông phương học,3.68,Xuất sắc,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
273,221VHU0273,Trần Gia Huy,221KẾ03,Kế toán,3.42,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
274,221VHU0274,Huỳnh Thị Em,221QU02,Quản trị kinh doanh,2.01,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
275,221VHU0275,Lý Khánh Phong,221NG01,Ngôn ngữ Nhật,3.57,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
276,221VHU0276,Phan Ánh Tuấn,221NG03,Ngôn ngữ Anh,2.88,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
277,221VHU0277,Nguyễn Đức Sơn,221KẾ01,Kế toán,3.21,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
278,221VHU0278,Huỳnh Thành Bình,221ĐÔ03,Đông phương học,2.68,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
279,221VHU0279,Đặng Quang Châu,221CÔ03,Công nghệ thông tin,2.21,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
280,221VHU0280,Đặng Ánh Tuấn,221TÂ02,Tâm lý học,3.36,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
281,221VHU0281,Đỗ Văn Châu,221KẾ02,Kế toán,2.63,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
282,221VHU0282,Lê Minh Phong,221TH03,Thiết kế đồ họa,2.24,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
