STT,Mã sinh viên,Họ và tên,Ngành học,Quê quán,Đối tượng miễn giảm,Mức miễn giảm đề xuất,Tình trạng hồ sơ
180,241VHU0180,Lê Thành Hải,Kế toán,Tây Ninh,Mồ côi cả cha lẫn mẹ,100% Học phí,Chờ xác minh địa phương
181,241VHU0181,Lê Ánh Yến,Marketing,Bến Tre,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
182,241VHU0182,Võ Gia Phúc,Ngôn ngữ Nhật,An Giang,Mồ côi cả cha lẫn mẹ,100% Học phí,Chờ xác minh địa phương
183,241VHU0183,Hoàng Đức Phúc,Marketing,Tiền Giang,Hộ cận nghèo,50% Học phí,Chờ xác minh địa phương
184,241VHU0184,Trần Khánh Huy,Quản trị dịch vụ du lịch và lữ hành,Cần Thơ,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
185,241VHU0185,Dương Đức Anh,Công nghệ thông tin,Bình Dương,Hộ nghèo,70% Học phí,Đã duyệt - Bổ sung HS
186,241VHU0186,Lý Thị Trang,Đông phương học,Long An,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
187,241VHU0187,Lý Hoàng Trang,Quản trị kinh doanh,Bình Dương,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
188,241VHU0188,Lý Thị Thảo,Tâm lý học,Tiền Giang,Hộ cận nghèo,50% Học phí,Chờ xác minh địa phương
189,241VHU0189,Ngô Khánh Hùng,Đông phương học,Đắk Lắk,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Bổ sung HS
190,241VHU0190,Phạm Quang Quân,Tâm lý học,Bình Dương,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
191,241VHU0191,Huỳnh Ánh Bình,Thiết kế đồ họa,Đắk Lắk,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
192,241VHU0192,Hoàng Quang Phúc,Công nghệ thông tin,Bến Tre,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
193,241VHU0193,Đỗ Văn Huy,Kế toán,Bình Định,Sinh viên vùng dân tộc thiểu số,50% Học phí,Chờ xác minh địa phương
194,241VHU0194,Phan Phương Trang,Thiết kế đồ họa,Long An,Con thương binh / bệnh binh,100% Học phí,Chờ xác minh địa phương
195,241VHU0195,Bùi Khánh Khoa,Đông phương học,Lâm Đồng,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
196,241VHU0196,Đỗ Thị Sơn,Quản trị dịch vụ du lịch và lữ hành,TP. Hồ Chí Minh,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
197,241VHU0197,Hoàng Thu Huy,Tài chính - Ngân hàng,Tây Ninh,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
198,241VHU0198,Huỳnh Thị Hải,Thiết kế đồ họa,Đồng Nai,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
199,241VHU0199,Phạm Gia Nga,Kỹ thuật phần mềm,TP. Hồ Chí Minh,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
200,241VHU0200,Lý Quang Huy,Tâm lý học,Tiền Giang,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
