STT,Mã hồ sơ,Họ và tên,Ngày sinh,Tỉnh/Thành phố,Ngành xét tuyển,Phương thức xét tuyển,Điểm xét tuyển,Kết quả
188,261VHU0188,Bùi Đức Khoa,04/09/2008,Cần Thơ,Thiết kế đồ họa,Xét học bạ THPT,23.36,Trúng tuyển
189,261VHU0189,Phan Phương Linh,21/03/2008,Đồng Nai,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,964.0,Trúng tuyển
190,261VHU0190,Phạm Thành Hùng,25/11/2008,Bình Định,Quản trị kinh doanh,Xét học bạ THPT,24.33,Trúng tuyển
191,261VHU0191,Huỳnh Phương Trang,25/10/2008,Tiền Giang,Ngôn ngữ Anh,Xét điểm thi THPT,25.92,Trúng tuyển
192,261VHU0192,Bùi Khánh Trang,16/08/2008,Lâm Đồng,Tài chính - Ngân hàng,Xét học bạ THPT,22.62,Trúng tuyển
193,261VHU0193,Đặng Phương Hùng,03/05/2008,Tiền Giang,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,21.7,Trúng tuyển
194,261VHU0194,Dương Văn Bình,28/02/2008,An Giang,Tài chính - Ngân hàng,Xét điểm thi THPT,18.81,Trúng tuyển
195,261VHU0195,Hồ Ngọc Tâm,15/10/2008,Lâm Đồng,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,940.0,Trúng tuyển
196,261VHU0196,Phan Quang Thảo,02/08/2008,Bình Định,Ngôn ngữ Anh,Xét điểm ĐGNL ĐHQG,657.0,Trúng tuyển
197,261VHU0197,Bùi Hoàng Châu,08/12/2008,Tiền Giang,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,666.0,Trúng tuyển
198,261VHU0198,Dương Thu Quân,10/07/2008,Bến Tre,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,21.82,Trúng tuyển
199,261VHU0199,Bùi Tuấn Thảo,03/06/2008,Bình Định,Công nghệ thông tin,Xét điểm ĐGNL ĐHQG,846.0,Trúng tuyển
200,261VHU0200,Hồ Minh Hùng,20/03/2008,Tây Ninh,Tâm lý học,Xét điểm ĐGNL ĐHQG,966.0,Trúng tuyển
201,261VHU0201,Lê Ánh Tuấn,21/12/2008,Lâm Đồng,Thiết kế đồ họa,Xét điểm thi THPT,21.26,Trúng tuyển
202,261VHU0202,Hồ Thành Thảo,13/11/2008,Tây Ninh,Tâm lý học,Xét học bạ THPT,21.25,Trúng tuyển
203,261VHU0203,Hoàng Tuấn Uyên,03/11/2008,Lâm Đồng,Tâm lý học,Xét điểm ĐGNL ĐHQG,947.0,Trúng tuyển
204,261VHU0204,Ngô Thu Linh,07/06/2008,Tiền Giang,Công nghệ thông tin,Xét điểm thi THPT,21.24,Trúng tuyển
205,261VHU0205,Phan Đức Em,26/02/2008,Cần Thơ,Thiết kế đồ họa,Xét học bạ THPT,21.11,Trúng tuyển
206,261VHU0206,Trần Tuấn Khoa,05/03/2008,Long An,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,24.27,Trúng tuyển
207,261VHU0207,Huỳnh Hoàng Nga,24/04/2008,Tiền Giang,Công nghệ thông tin,Xét điểm thi THPT,21.83,Trúng tuyển
208,261VHU0208,Đặng Phương Vinh,10/08/2008,Đồng Nai,Ngôn ngữ Anh,Xét học bạ THPT,23.61,Trúng tuyển
209,261VHU0209,Đỗ Tuấn Tâm,25/07/2008,Cần Thơ,Ngôn ngữ Anh,Xét điểm thi THPT,26.08,Trúng tuyển
210,261VHU0210,Ngô Thành Hải,02/11/2008,Tiền Giang,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,27.17,Trúng tuyển
211,261VHU0211,Đỗ Thu Dũng,10/02/2008,Long An,Tâm lý học,Xét điểm ĐGNL ĐHQG,923.0,Trúng tuyển
212,261VHU0212,Võ Ngọc Quân,08/08/2008,Tây Ninh,Thiết kế đồ họa,Xét điểm thi THPT,18.96,Trúng tuyển
213,261VHU0213,Nguyễn Gia Bình,13/02/2008,Tây Ninh,Marketing,Xét điểm ĐGNL ĐHQG,742.0,Trúng tuyển
214,261VHU0214,Vũ Văn Khoa,26/03/2008,Long An,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,847.0,Trúng tuyển
215,261VHU0215,Trần Minh Phong,16/08/2008,An Giang,Tâm lý học,Xét học bạ THPT,25.97,Trúng tuyển
216,261VHU0216,Nguyễn Thị Anh,18/12/2008,An Giang,Kế toán,Xét học bạ THPT,26.77,Trúng tuyển
217,261VHU0217,Ngô Thị Yến,02/04/2008,Bến Tre,Kế toán,Xét học bạ THPT,21.16,Trúng tuyển
218,261VHU0218,Dương Thị Dũng,21/09/2008,An Giang,Ngôn ngữ Anh,Xét điểm ĐGNL ĐHQG,804.0,Trúng tuyển
219,261VHU0219,Vũ Hoàng Em,12/04/2008,An Giang,Kế toán,Xét điểm thi THPT,18.02,Trúng tuyển
220,261VHU0220,Ngô Thành Tuấn,12/02/2008,Cần Thơ,Đông phương học,Xét học bạ THPT,23.5,Trúng tuyển
221,261VHU0221,Nguyễn Gia Phong,12/05/2008,Đắk Lắk,Công nghệ thông tin,Xét điểm ĐGNL ĐHQG,747.0,Trúng tuyển
222,261VHU0222,Nguyễn Quang Châu,21/02/2008,An Giang,Tài chính - Ngân hàng,Xét học bạ THPT,25.7,Trúng tuyển
223,261VHU0223,Bùi Thành Bình,21/03/2008,Lâm Đồng,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,729.0,Trúng tuyển
224,261VHU0224,Dương Hoàng Phong,03/12/2008,Tiền Giang,Đông phương học,Xét học bạ THPT,26.52,Trúng tuyển
225,261VHU0225,Trần Minh Hải,11/05/2008,Cần Thơ,Công nghệ thông tin,Xét học bạ THPT,27.3,Trúng tuyển
226,261VHU0226,Hồ Khánh Sơn,21/04/2008,Bình Dương,Ngôn ngữ Anh,Xét điểm thi THPT,18.38,Trúng tuyển
227,261VHU0227,Đỗ Khánh Yến,04/06/2008,Bến Tre,Công nghệ thông tin,Xét điểm ĐGNL ĐHQG,726.0,Trúng tuyển
228,261VHU0228,Hồ Hoàng Nga,16/12/2008,Tiền Giang,Marketing,Xét điểm thi THPT,28.22,Trúng tuyển
229,261VHU0229,Đỗ Phương Quân,03/07/2008,An Giang,Kế toán,Xét học bạ THPT,25.63,Trúng tuyển
230,261VHU0230,Huỳnh Thu Huy,22/05/2008,Bình Dương,Tài chính - Ngân hàng,Xét học bạ THPT,18.84,Trúng tuyển
231,261VHU0231,Dương Ánh Uyên,12/08/2008,TP. Hồ Chí Minh,Marketing,Xét học bạ THPT,25.24,Trúng tuyển
232,261VHU0232,Đỗ Ánh Nam,02/02/2008,Lâm Đồng,Kế toán,Xét điểm ĐGNL ĐHQG,972.0,Trúng tuyển
233,261VHU0233,Hồ Quang Quân,01/03/2008,An Giang,Tâm lý học,Xét điểm ĐGNL ĐHQG,661.0,Trúng tuyển
234,261VHU0234,Dương Văn Em,12/06/2008,Bến Tre,Kỹ thuật phần mềm,Xét học bạ THPT,26.17,Trúng tuyển
235,261VHU0235,Trần Ánh Em,12/08/2008,Bình Định,Đông phương học,Xét điểm thi THPT,27.96,Trúng tuyển
236,261VHU0236,Hoàng Thu Linh,08/02/2008,TP. Hồ Chí Minh,Marketing,Xét điểm thi THPT,24.82,Trúng tuyển
237,261VHU0237,Huỳnh Ngọc Quân,25/05/2008,Đắk Lắk,Marketing,Xét điểm ĐGNL ĐHQG,645.0,Không trúng tuyển
238,261VHU0238,Dương Đức Thảo,16/04/2008,Bình Định,Kế toán,Xét điểm ĐGNL ĐHQG,948.0,Trúng tuyển
239,261VHU0239,Hoàng Khánh Châu,15/02/2008,Lâm Đồng,Ngôn ngữ Anh,Xét học bạ THPT,27.44,Trúng tuyển
240,261VHU0240,Bùi Tuấn Linh,10/05/2008,Long An,Tâm lý học,Xét học bạ THPT,23.77,Trúng tuyển
241,261VHU0241,Huỳnh Phương Linh,07/03/2008,Đồng Nai,Ngôn ngữ Nhật,Xét học bạ THPT,19.27,Trúng tuyển
242,261VHU0242,Lý Văn Linh,26/09/2008,Long An,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,740.0,Trúng tuyển
243,261VHU0243,Lê Thị Huy,17/07/2008,Bến Tre,Marketing,Xét điểm ĐGNL ĐHQG,873.0,Trúng tuyển
244,261VHU0244,Lê Thành Khoa,22/09/2008,Tây Ninh,Đông phương học,Xét học bạ THPT,22.72,Trúng tuyển
245,261VHU0245,Hoàng Khánh Yến,25/03/2008,Bến Tre,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,823.0,Trúng tuyển
246,261VHU0246,Trần Khánh Dũng,06/06/2008,Đắk Lắk,Ngôn ngữ Nhật,Xét học bạ THPT,21.19,Trúng tuyển
247,261VHU0247,Vũ Quang Quân,21/09/2008,Bình Dương,Kế toán,Xét học bạ THPT,20.63,Trúng tuyển
248,261VHU0248,Hoàng Tuấn Huy,21/03/2008,An Giang,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,636.0,Không trúng tuyển
249,261VHU0249,Hoàng Thành Tuấn,11/10/2008,TP. Hồ Chí Minh,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,943.0,Trúng tuyển
250,261VHU0250,Nguyễn Thị Bình,07/10/2008,Bến Tre,Đông phương học,Xét điểm ĐGNL ĐHQG,701.0,Trúng tuyển
251,261VHU0251,Nguyễn Ngọc Trang,10/08/2008,Đồng Nai,Ngôn ngữ Nhật,Xét điểm thi THPT,24.74,Trúng tuyển
252,261VHU0252,Hồ Minh Nga,15/07/2008,Tiền Giang,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,623.0,Không trúng tuyển
253,261VHU0253,Dương Đức Khoa,23/06/2008,Đắk Lắk,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,21.28,Trúng tuyển
254,261VHU0254,Đỗ Gia Em,11/04/2008,Tiền Giang,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,813.0,Trúng tuyển
255,261VHU0255,Phạm Minh Nga,10/07/2008,An Giang,Quản trị kinh doanh,Xét học bạ THPT,19.02,Trúng tuyển
256,261VHU0256,Ngô Đức Phúc,07/03/2008,Tiền Giang,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,874.0,Trúng tuyển
257,261VHU0257,Dương Ngọc Huy,13/09/2008,Tiền Giang,Ngôn ngữ Anh,Xét học bạ THPT,18.95,Trúng tuyển
258,261VHU0258,Vũ Đức Tâm,16/10/2008,Lâm Đồng,Tài chính - Ngân hàng,Xét học bạ THPT,18.53,Trúng tuyển
259,261VHU0259,Lý Minh Sơn,09/12/2008,Tây Ninh,Công nghệ thông tin,Xét học bạ THPT,22.52,Trúng tuyển
260,261VHU0260,Hồ Quang Bình,07/06/2008,Cần Thơ,Marketing,Xét học bạ THPT,23.99,Trúng tuyển
261,261VHU0261,Đặng Thị Mai,09/10/2008,Lâm Đồng,Ngôn ngữ Nhật,Xét điểm thi THPT,26.03,Trúng tuyển
262,261VHU0262,Phạm Thành Dũng,11/09/2008,Tây Ninh,Marketing,Xét điểm thi THPT,26.35,Trúng tuyển
263,261VHU0263,Hoàng Đức Thảo,02/01/2008,Long An,Ngôn ngữ Nhật,Xét điểm thi THPT,23.25,Trúng tuyển
264,261VHU0264,Bùi Phương Phong,17/03/2008,Tây Ninh,Ngôn ngữ Nhật,Xét điểm thi THPT,19.56,Trúng tuyển
265,261VHU0265,Bùi Thành Mai,19/06/2008,Cần Thơ,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,920.0,Trúng tuyển
266,261VHU0266,Lý Hoàng Tâm,12/06/2008,Lâm Đồng,Kế toán,Xét điểm thi THPT,26.57,Trúng tuyển
267,261VHU0267,Phạm Gia Tâm,21/01/2008,An Giang,Kế toán,Xét điểm ĐGNL ĐHQG,931.0,Trúng tuyển
268,261VHU0268,Lý Minh Trang,02/10/2008,Tiền Giang,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,686.0,Trúng tuyển
269,261VHU0269,Huỳnh Thu Trang,13/03/2008,Lâm Đồng,Tâm lý học,Xét điểm ĐGNL ĐHQG,894.0,Trúng tuyển
270,261VHU0270,Vũ Văn Tâm,15/06/2008,Bến Tre,Tâm lý học,Xét học bạ THPT,20.0,Trúng tuyển
271,261VHU0271,Hoàng Gia Uyên,20/08/2008,Đắk Lắk,Quản trị kinh doanh,Xét điểm thi THPT,23.27,Trúng tuyển
272,261VHU0272,Trần Hoàng Em,22/08/2008,Cần Thơ,Ngôn ngữ Nhật,Xét học bạ THPT,23.89,Trúng tuyển
273,261VHU0273,Hồ Quang Phúc,12/11/2008,Đắk Lắk,Ngôn ngữ Anh,Xét điểm ĐGNL ĐHQG,730.0,Trúng tuyển
274,261VHU0274,Võ Ánh Phong,10/04/2008,Bình Dương,Quản trị kinh doanh,Xét học bạ THPT,20.93,Trúng tuyển
275,261VHU0275,Đặng Hoàng Hải,16/06/2008,Cần Thơ,Tâm lý học,Xét điểm ĐGNL ĐHQG,786.0,Trúng tuyển
276,261VHU0276,Võ Minh Dũng,13/06/2008,Long An,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,806.0,Trúng tuyển
277,261VHU0277,Đặng Văn Huy,15/11/2008,Bình Dương,Tâm lý học,Xét học bạ THPT,21.64,Trúng tuyển
278,261VHU0278,Lý Đức Hải,23/05/2008,Long An,Ngôn ngữ Nhật,Xét điểm thi THPT,27.8,Trúng tuyển
279,261VHU0279,Phạm Ánh Vinh,22/09/2008,Đồng Nai,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,20.55,Trúng tuyển
280,261VHU0280,Vũ Văn Dũng,04/11/2008,Long An,Marketing,Xét điểm thi THPT,25.53,Trúng tuyển
281,261VHU0281,Nguyễn Thu Phúc,16/08/2008,Lâm Đồng,Marketing,Xét điểm ĐGNL ĐHQG,955.0,Trúng tuyển
282,261VHU0282,Phan Phương Huy,25/02/2008,Lâm Đồng,Tài chính - Ngân hàng,Xét điểm thi THPT,24.78,Trúng tuyển
283,261VHU0283,Vũ Thu Vinh,06/07/2008,Long An,Tâm lý học,Xét học bạ THPT,27.59,Trúng tuyển
284,261VHU0284,Trần Khánh Mai,28/05/2008,TP. Hồ Chí Minh,Ngôn ngữ Anh,Xét học bạ THPT,27.83,Trúng tuyển
285,261VHU0285,Nguyễn Minh Tâm,11/05/2008,Tiền Giang,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,27.75,Trúng tuyển
286,261VHU0286,Lý Thành Quân,04/06/2008,Long An,Ngôn ngữ Anh,Xét điểm thi THPT,20.02,Trúng tuyển
287,261VHU0287,Dương Tuấn Hùng,11/05/2008,An Giang,Tâm lý học,Xét học bạ THPT,18.15,Trúng tuyển
288,261VHU0288,Phan Thành Thảo,17/06/2008,Bình Định,Đông phương học,Xét điểm thi THPT,26.68,Trúng tuyển
289,261VHU0289,Hồ Tuấn Dũng,08/01/2008,Bình Dương,Thiết kế đồ họa,Xét học bạ THPT,23.01,Trúng tuyển
290,261VHU0290,Hồ Đức Nga,24/10/2008,TP. Hồ Chí Minh,Kế toán,Xét điểm thi THPT,21.17,Trúng tuyển
291,261VHU0291,Võ Tuấn Linh,04/08/2008,Bình Dương,Tâm lý học,Xét học bạ THPT,18.65,Trúng tuyển
292,261VHU0292,Huỳnh Gia Tuấn,23/02/2008,Lâm Đồng,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,893.0,Trúng tuyển
293,261VHU0293,Đặng Quang Thảo,16/03/2008,Tiền Giang,Quản trị kinh doanh,Xét học bạ THPT,28.05,Trúng tuyển
294,261VHU0294,Đỗ Gia Uyên,26/11/2008,Đồng Nai,Ngôn ngữ Nhật,Xét điểm thi THPT,25.95,Trúng tuyển
295,261VHU0295,Vũ Tuấn Yến,17/12/2008,Tây Ninh,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,23.52,Trúng tuyển
296,261VHU0296,Lê Ánh Dũng,07/10/2008,Cần Thơ,Công nghệ thông tin,Xét điểm ĐGNL ĐHQG,943.0,Trúng tuyển
297,261VHU0297,Hoàng Thành Khoa,07/12/2008,An Giang,Ngôn ngữ Nhật,Xét điểm thi THPT,19.22,Trúng tuyển
298,261VHU0298,Lý Thị Quân,17/07/2008,Tiền Giang,Ngôn ngữ Anh,Xét học bạ THPT,22.76,Trúng tuyển
299,261VHU0299,Trần Thu Nga,13/05/2008,TP. Hồ Chí Minh,Đông phương học,Xét điểm thi THPT,25.59,Trúng tuyển
300,261VHU0300,Phan Ánh Châu,03/09/2008,TP. Hồ Chí Minh,Công nghệ thông tin,Xét điểm thi THPT,21.62,Trúng tuyển
301,261VHU0301,Lê Ngọc Bình,05/11/2008,Đắk Lắk,Kế toán,Xét điểm thi THPT,19.89,Trúng tuyển
302,261VHU0302,Ngô Quang Mai,22/11/2008,Cần Thơ,Ngôn ngữ Anh,Xét điểm thi THPT,21.94,Trúng tuyển
303,261VHU0303,Hoàng Tuấn Linh,13/09/2008,Long An,Kỹ thuật phần mềm,Xét học bạ THPT,28.42,Trúng tuyển
304,261VHU0304,Vũ Khánh Anh,24/09/2008,Bến Tre,Công nghệ thông tin,Xét điểm thi THPT,22.86,Trúng tuyển
305,261VHU0305,Hồ Khánh Hương,09/04/2008,Đắk Lắk,Quản trị kinh doanh,Xét điểm thi THPT,21.63,Trúng tuyển
306,261VHU0306,Phạm Văn Tuấn,01/04/2008,Đồng Nai,Marketing,Xét điểm ĐGNL ĐHQG,891.0,Trúng tuyển
307,261VHU0307,Lê Thị Thảo,23/01/2008,Đồng Nai,Công nghệ thông tin,Xét điểm thi THPT,24.28,Trúng tuyển
308,261VHU0308,Trần Gia Nga,28/01/2008,Long An,Quản trị kinh doanh,Xét điểm ĐGNL ĐHQG,683.0,Trúng tuyển
309,261VHU0309,Đặng Đức Vinh,25/11/2008,Tây Ninh,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,24.06,Trúng tuyển
310,261VHU0310,Vũ Minh Em,10/05/2008,TP. Hồ Chí Minh,Đông phương học,Xét điểm ĐGNL ĐHQG,684.0,Trúng tuyển
311,261VHU0311,Huỳnh Tuấn Tuấn,12/11/2008,Lâm Đồng,Marketing,Xét điểm ĐGNL ĐHQG,788.0,Trúng tuyển
312,261VHU0312,Hồ Phương Quân,05/05/2008,Bến Tre,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,758.0,Trúng tuyển
313,261VHU0313,Huỳnh Phương Sơn,10/12/2008,Long An,Ngôn ngữ Anh,Xét học bạ THPT,26.92,Trúng tuyển
314,261VHU0314,Dương Văn Sơn,05/07/2008,Đồng Nai,Marketing,Xét điểm thi THPT,23.85,Trúng tuyển
315,261VHU0315,Võ Đức Khoa,28/06/2008,Bình Định,Đông phương học,Xét học bạ THPT,27.68,Trúng tuyển
316,261VHU0316,Phan Văn Hùng,02/02/2008,Đồng Nai,Marketing,Xét điểm ĐGNL ĐHQG,830.0,Trúng tuyển
317,261VHU0317,Phan Ngọc Hải,01/04/2008,Đồng Nai,Tài chính - Ngân hàng,Xét điểm thi THPT,28.05,Trúng tuyển
318,261VHU0318,Phạm Hoàng Yến,23/04/2008,Bến Tre,Ngôn ngữ Anh,Xét học bạ THPT,25.3,Trúng tuyển
319,261VHU0319,Vũ Thu Khoa,21/06/2008,Bình Dương,Kế toán,Xét điểm thi THPT,22.9,Trúng tuyển
320,261VHU0320,Võ Quang Quân,24/08/2008,Tây Ninh,Ngôn ngữ Anh,Xét điểm thi THPT,19.04,Trúng tuyển
321,261VHU0321,Phan Quang Khoa,08/12/2008,Long An,Marketing,Xét học bạ THPT,23.91,Trúng tuyển
322,261VHU0322,Nguyễn Minh Sơn,10/03/2008,Đồng Nai,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,874.0,Trúng tuyển
323,261VHU0323,Bùi Đức Mai,21/11/2008,Tây Ninh,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,23.24,Trúng tuyển
324,261VHU0324,Võ Phương Phong,15/03/2008,Đắk Lắk,Tâm lý học,Xét điểm ĐGNL ĐHQG,881.0,Trúng tuyển
325,261VHU0325,Đỗ Thành Em,18/11/2008,TP. Hồ Chí Minh,Tâm lý học,Xét điểm ĐGNL ĐHQG,786.0,Trúng tuyển
326,261VHU0326,Trần Khánh Châu,14/03/2008,Lâm Đồng,Đông phương học,Xét học bạ THPT,26.03,Trúng tuyển
327,261VHU0327,Vũ Thị Uyên,15/06/2008,TP. Hồ Chí Minh,Thiết kế đồ họa,Xét học bạ THPT,20.3,Trúng tuyển
328,261VHU0328,Lý Tuấn Phong,14/01/2008,TP. Hồ Chí Minh,Công nghệ thông tin,Xét học bạ THPT,23.59,Trúng tuyển
329,261VHU0329,Võ Thu Huy,22/07/2008,Long An,Công nghệ thông tin,Xét điểm ĐGNL ĐHQG,909.0,Trúng tuyển
330,261VHU0330,Phạm Thị Quân,17/05/2008,Tây Ninh,Thiết kế đồ họa,Xét học bạ THPT,20.02,Trúng tuyển
331,261VHU0331,Võ Phương Mai,15/10/2008,Đồng Nai,Kỹ thuật phần mềm,Xét điểm thi THPT,28.07,Trúng tuyển
332,261VHU0332,Vũ Minh Tuấn,21/01/2008,Bình Định,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,977.0,Trúng tuyển
333,261VHU0333,Hồ Gia Mai,01/12/2008,Long An,Ngôn ngữ Nhật,Xét điểm thi THPT,18.59,Trúng tuyển
334,261VHU0334,Lê Ngọc Nam,28/02/2008,Cần Thơ,Đông phương học,Xét điểm thi THPT,23.94,Trúng tuyển
335,261VHU0335,Trần Đức Hải,02/02/2008,Lâm Đồng,Tâm lý học,Xét điểm ĐGNL ĐHQG,781.0,Trúng tuyển
336,261VHU0336,Võ Thu Tâm,28/06/2008,TP. Hồ Chí Minh,Đông phương học,Xét học bạ THPT,19.88,Trúng tuyển
337,261VHU0337,Phan Ánh Em,10/03/2008,An Giang,Tâm lý học,Xét điểm thi THPT,27.75,Trúng tuyển
338,261VHU0338,Vũ Ánh Mai,25/12/2008,Long An,Đông phương học,Xét điểm ĐGNL ĐHQG,726.0,Trúng tuyển
339,261VHU0339,Lê Thu Vinh,08/02/2008,Tây Ninh,Tài chính - Ngân hàng,Xét học bạ THPT,19.03,Trúng tuyển
340,261VHU0340,Hồ Phương Khoa,15/08/2008,Đồng Nai,Công nghệ thông tin,Xét điểm ĐGNL ĐHQG,704.0,Trúng tuyển
341,261VHU0341,Đỗ Thu Mai,22/07/2008,Bình Định,Marketing,Xét học bạ THPT,25.14,Trúng tuyển
342,261VHU0342,Đặng Phương Hương,05/07/2008,Đắk Lắk,Tâm lý học,Xét học bạ THPT,18.86,Trúng tuyển
343,261VHU0343,Hoàng Hoàng Mai,01/05/2008,Tiền Giang,Tài chính - Ngân hàng,Xét điểm thi THPT,19.12,Trúng tuyển
344,261VHU0344,Đỗ Phương Hùng,14/08/2008,Cần Thơ,Kỹ thuật phần mềm,Xét học bạ THPT,18.92,Trúng tuyển
345,261VHU0345,Ngô Thị Anh,20/10/2008,Tây Ninh,Kỹ thuật phần mềm,Xét điểm thi THPT,23.82,Trúng tuyển
346,261VHU0346,Hồ Văn Huy,24/09/2008,Đồng Nai,Marketing,Xét điểm thi THPT,26.18,Trúng tuyển
347,261VHU0347,Huỳnh Tuấn Mai,09/08/2008,Long An,Thiết kế đồ họa,Xét học bạ THPT,20.82,Trúng tuyển
348,261VHU0348,Lê Thành Nam,26/02/2008,Tây Ninh,Kế toán,Xét điểm thi THPT,21.15,Trúng tuyển
349,261VHU0349,Võ Đức Vinh,07/08/2008,Bình Định,Đông phương học,Xét điểm thi THPT,24.23,Trúng tuyển
350,261VHU0350,Hoàng Minh Anh,13/06/2008,Tiền Giang,Marketing,Xét điểm thi THPT,26.84,Trúng tuyển
351,261VHU0351,Bùi Gia Trang,20/12/2008,Đồng Nai,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,21.15,Trúng tuyển
352,261VHU0352,Lý Quang Phúc,23/11/2008,Tiền Giang,Marketing,Xét điểm thi THPT,21.06,Trúng tuyển
353,261VHU0353,Vũ Quang Mai,19/04/2008,An Giang,Kế toán,Xét điểm thi THPT,21.83,Trúng tuyển
354,261VHU0354,Huỳnh Tuấn Yến,15/12/2008,Đồng Nai,Ngôn ngữ Nhật,Xét học bạ THPT,28.01,Trúng tuyển
355,261VHU0355,Dương Phương Huy,26/07/2008,Lâm Đồng,Tâm lý học,Xét học bạ THPT,26.6,Trúng tuyển
356,261VHU0356,Lý Thành Trang,05/12/2008,Bến Tre,Kế toán,Xét học bạ THPT,20.65,Trúng tuyển
357,261VHU0357,Hồ Thị Nga,18/09/2008,Đắk Lắk,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,24.11,Trúng tuyển
358,261VHU0358,Ngô Thu Bình,18/10/2008,Lâm Đồng,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,940.0,Trúng tuyển
359,261VHU0359,Lê Thị Yến,06/11/2008,An Giang,Quản trị kinh doanh,Xét điểm ĐGNL ĐHQG,853.0,Trúng tuyển
360,261VHU0360,Trần Ánh Trang,25/06/2008,Bến Tre,Đông phương học,Xét điểm ĐGNL ĐHQG,752.0,Trúng tuyển
361,261VHU0361,Phạm Văn Dũng,17/09/2008,An Giang,Kế toán,Xét học bạ THPT,23.36,Trúng tuyển
362,261VHU0362,Vũ Ngọc Linh,19/12/2008,Cần Thơ,Marketing,Xét điểm thi THPT,26.11,Trúng tuyển
363,261VHU0363,Hoàng Quang Anh,03/02/2008,Đắk Lắk,Ngôn ngữ Anh,Xét học bạ THPT,21.1,Trúng tuyển
364,261VHU0364,Hoàng Quang Huy,17/08/2008,Tây Ninh,Tài chính - Ngân hàng,Xét điểm thi THPT,26.23,Trúng tuyển
365,261VHU0365,Lý Thị Nga,03/05/2008,TP. Hồ Chí Minh,Tâm lý học,Xét điểm ĐGNL ĐHQG,772.0,Trúng tuyển
366,261VHU0366,Phạm Văn Khoa,06/12/2008,Đồng Nai,Đông phương học,Xét học bạ THPT,25.11,Trúng tuyển
367,261VHU0367,Huỳnh Thu Phúc,15/04/2008,Bến Tre,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,762.0,Trúng tuyển
368,261VHU0368,Huỳnh Thành Trang,24/10/2008,Đồng Nai,Đông phương học,Xét điểm thi THPT,22.15,Trúng tuyển
369,261VHU0369,Dương Ánh Nam,07/05/2008,Đắk Lắk,Marketing,Xét học bạ THPT,25.4,Trúng tuyển
370,261VHU0370,Lê Ánh Dũng,07/08/2008,Bình Định,Ngôn ngữ Nhật,Xét học bạ THPT,21.84,Trúng tuyển
371,261VHU0371,Võ Tuấn Phong,13/10/2008,Bến Tre,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,719.0,Trúng tuyển
372,261VHU0372,Phạm Quang Linh,22/12/2008,Bình Dương,Ngôn ngữ Anh,Xét điểm ĐGNL ĐHQG,666.0,Trúng tuyển
373,261VHU0373,Lê Tuấn Em,04/03/2008,Tây Ninh,Tài chính - Ngân hàng,Xét học bạ THPT,20.51,Trúng tuyển
374,261VHU0374,Hoàng Thu Mai,13/07/2008,Long An,Marketing,Xét điểm ĐGNL ĐHQG,652.0,Trúng tuyển
375,261VHU0375,Lý Tuấn Sơn,06/09/2008,Long An,Tâm lý học,Xét điểm ĐGNL ĐHQG,954.0,Trúng tuyển
376,261VHU0376,Lý Minh Em,20/01/2008,Tây Ninh,Thiết kế đồ họa,Xét điểm thi THPT,26.84,Trúng tuyển
