student_id,student_name,gpa,english_status,informatics_status,national_defense_status,physical_education_status,tuition_status,discipline_status
SV222,Phan Anh Kiên,2.18,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV223,Võ Minh Long,2.04,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV224,Phan Anh Trường,2.43,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV225,Hoàng Tuấn Nam,3.50,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV226,Trần Diệu Thảo,3.73,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV227,Trần Phương Phương,3.26,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV228,Vũ Thanh Linh,2.64,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV229,Lê Hữu Tú,3.82,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV230,Dương Quang Cường,2.45,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV231,Vũ Mai Giang,2.99,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV232,Hồ Thị Thư,3.12,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV233,Lê Phương Diệp,3.52,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV234,Bùi Phương Loan,3.11,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV235,Lê Việt Duy,2.47,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV236,Ngô Thu Ngân,3.17,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV237,Dương Xuân Bình,3.66,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV238,Lý Minh Thịnh,3.61,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV239,Huỳnh Thanh Như,3.40,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV240,Trần Tuấn Nghĩa,2.97,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Khiển trách
SV241,Đỗ Hữu Nghĩa,3.66,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV242,Ngô Thu Oanh,2.10,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV243,Đặng Công Quân,2.37,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV244,Võ Thu Thảo,3.66,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV245,Võ Hồng Loan,2.77,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV246,Lý Quang Quân,1.81,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV247,Hồ Thành Nam,3.57,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV248,Trần Thị Diệp,3.15,Chưa đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Khiển trách
SV249,Hoàng Việt Khoa,2.14,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV250,Hồ Việt Khoa,3.36,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV251,Dương Thị An,3.30,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV252,Phạm Ngọc Lan,2.59,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV253,Nguyễn Xuân Tài,2.15,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV254,Phạm Đức Trung,2.06,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV255,Đặng Tuấn An,3.62,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV256,Vũ Anh Minh,2.04,Đạt,Chưa đạt,Hoàn thành,Chưa hoàn thành,Chưa hoàn thành,Cảnh cáo
SV257,Ngô Quang Phúc,3.27,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV258,Trần Minh Phong,2.42,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV259,Lê Công Cường,2.90,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV260,Lê Bảo Thảo,2.74,Chưa đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV261,Huỳnh Hữu An,3.32,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV262,Hoàng Tuấn Trung,3.68,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV263,Lê Anh Nghĩa,2.90,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV264,Phạm Kim Thư,2.89,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV265,Trần Mai Trâm,3.76,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV266,Đỗ Hữu Phong,3.25,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV267,Đặng Diệu Chi,2.99,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV268,Lý Kim Thư,3.74,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV269,Nguyễn Diệu An,3.43,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV270,Hoàng Bảo Chi,1.89,Đạt,Chưa đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV271,Hoàng Hồng Chi,3.07,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Cảnh cáo
SV272,Bùi Quang Nghĩa,2.38,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV273,Ngô Hữu Phúc,2.57,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV274,Trần Thành Tú,3.64,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV275,Huỳnh Thị Loan,3.64,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV276,Vũ Đức Hải,3.57,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV277,Lê Thành Vinh,3.19,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV278,Ngô Tuấn Minh,2.87,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV279,Vũ Việt Khoa,2.87,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV280,Vũ Mai Trâm,1.84,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV281,Võ Đức An,2.49,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV282,Vũ Thu Diệp,2.33,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV283,Hồ Diệu Yến,3.60,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV284,Đỗ Xuân Quân,2.11,Chưa đạt,Chưa đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV285,Trần Thành Sơn,2.27,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV286,Bùi Thị An,2.12,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV287,Hồ Phương Diệp,2.52,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV288,Đỗ Thành Thắng,3.07,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV289,Hồ Phương Anh,2.19,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV290,Lê Thành Long,3.91,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV291,Võ Thành Hùng,3.29,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV292,Ngô Anh Vinh,2.61,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV293,Lê Văn Khoa,1.84,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV294,Lê Diệu Oanh,3.92,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV295,Bùi Thành Hải,2.68,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV296,Lý Đức Bình,2.58,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV297,Đặng Hữu Phát,3.61,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV298,Hồ Quang Đạt,2.76,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV299,Lê Diệu Trâm,2.96,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV300,Lý Phương Vân,2.31,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
