mssv,ho_ten,ngay_sinh,khoa,nganh,nam_hoc,hoc_ky,gpa_hoc_ky,diem_ren_luyen,loai_hoc_bong_dang_ky,hoan_canh_kho_khan,vipham_ky_luat,no_hoc_phi,ket_qua_xet_hoc_bong,ly_do_truot_hoac_xep_loai
211A000115,Hoang Hoang Nhi,2003-09-26,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,2.89,62,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000116,Vo Khanh Mai,2003-10-23,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,3.25,72,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000117,Ly Truc Lam,2003-08-24,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.6,72,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000118,Dinh Viet Nhi,2003-10-14,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.23,56,Hoc bong Khuyen khich Hoc tap,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000119,Vu Thi An,2003-10-31,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.47,93,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
211A000120,Do Duc Bich,2003-04-13,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 2,2.94,88,Hoc bong Khuyen khich Hoc tap,1,0,0,Dat,Dat HB KKHT Loai Kha
211A000121,Le Minh Linh,2003-07-25,Kinh te,Ke toan,2025-2026,Hoc ky 1,2.25,66,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000122,Tran Tan An,2003-11-19,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,2.68,79,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000123,Vu Minh Mai,2003-06-29,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 1,3.82,60,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000124,Le Gia Yen,2003-08-19,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.58,93,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000125,Le Thanh Hang,2003-09-09,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,3.39,61,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000126,Vo Minh Linh,2003-09-08,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,3.65,75,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000127,Ngo Tuyet Dung,2003-07-22,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,3.96,75,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000128,Vo Ngoc Dung,2003-08-22,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.6,81,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000129,Nguyen Quoc An,2003-09-28,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.39,64,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000130,Ngo Duc An,2003-12-16,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,2.82,96,Hoc bong Khuyen khich Hoc tap,1,1,0,Khong dat,Vi pham ky luat trong hoc ky
211A000131,Pham Duc Thinh,2003-01-28,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 1,3.51,64,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000132,Truong Thanh Quang,2003-09-27,Kinh te,Marketing,2025-2026,Hoc ky 2,3.41,96,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000133,Pham Quoc Dung,2003-04-08,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,2.21,57,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000134,Cao Phuong Yen,2003-06-21,Kinh te,Ke toan,2025-2026,Hoc ky 1,2.34,73,Hoc bong Dong hanh Vuot kho,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000135,Bui Viet Dung,2003-01-27,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.46,86,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000136,Dang Ngoc Khoa,2003-05-01,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.89,90,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000137,Truong Huu An,2003-02-23,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,2.3,59,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000138,Vo Quoc Nam,2003-01-01,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 2,3.68,55,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000139,Vo Ngoc Dung,2003-09-19,Kinh te,Ke toan,2025-2026,Hoc ky 1,3.17,88,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000140,Le Khanh Nam,2003-03-09,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.45,68,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000141,Mai Duc Quang,2003-07-22,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,2.78,65,Hoc bong Tai nang VHU,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000142,Vo Ngoc Em,2003-08-17,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,3.29,65,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000143,Huynh Phuong Bich,2003-05-22,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.52,69,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000144,Duong Phuong Nam,2003-08-21,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.73,71,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000145,Dinh Quoc Nhi,2003-10-06,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,2.12,93,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000146,Dinh Tan Bich,2003-05-05,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,2.69,89,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000147,Nguyen Truc Mai,2003-07-19,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,2.25,74,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000148,Ngo Nhat Giang,2003-04-03,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,3.18,70,Hoc bong Dong hanh Vuot kho,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000149,Cao Kim Yen,2003-09-13,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,2.43,87,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000150,Nguyen Hoang Phong,2003-11-12,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 2,2.69,86,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000151,Vo Ngoc Lam,2003-04-22,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,2.61,79,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000152,Truong Truc Quan,2003-08-18,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.64,99,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000153,Duong Tan Quan,2003-11-25,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,2.35,77,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000154,Tran Thanh Hang,2003-03-28,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,3.43,87,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000155,Le Khanh Thao,2003-04-07,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,3.5,86,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000156,Vo Viet Em,2003-11-12,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 2,2.65,76,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000157,Vu Minh Quang,2003-12-24,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,2.71,82,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000158,Nguyen Hoang Cuong,2003-05-30,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,2.87,91,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000159,Hoang Thi An,2003-08-23,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.32,73,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000160,Le Viet Phong,2003-01-22,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 1,3.14,67,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000161,Dinh Nhat Cuong,2003-01-08,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 1,3.18,76,Hoc bong Tai nang VHU,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000162,Pham Viet Quang,2003-06-28,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.52,58,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000163,Tran Quoc Cuong,2003-10-09,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.2,76,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000164,Vu Khanh Hang,2003-11-26,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,3.71,61,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000165,Ly Duc Linh,2003-05-16,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.19,93,Hoc bong Khuyen khich Hoc tap,1,0,0,Dat,Dat HB KKHT Loai Kha
211A000166,Do Nhat Em,2003-06-17,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 2,2.71,82,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000167,Do Phuong Cuong,2003-04-21,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.14,92,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000168,Dinh Huu Dung,2003-11-28,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 1,2.56,84,Hoc bong Khuyen khich Hoc tap,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000169,Ly Duc Quan,2003-08-16,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.33,59,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000170,Ly Hoang Thao,2003-08-09,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,2.19,82,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000171,Ly Thanh Vy,2003-12-18,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,3.96,62,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000172,Phan Huu Dung,2003-09-11,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,3.41,80,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000173,Nguyen Quoc Thao,2003-05-18,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.36,76,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000174,Phan Duc Thinh,2003-02-02,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,3.06,91,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000175,Do Tuyet Quang,2003-06-23,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,3.51,78,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000176,Truong Truc Bich,2003-10-04,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,2.45,80,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000177,Phan Hoang Quang,2003-08-20,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 1,2.87,72,Hoc bong Khuyen khich Hoc tap,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000178,Le Duc Giang,2003-03-12,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,3.54,84,Hoc bong Tai nang VHU,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000179,Vu Duc Thao,2003-06-22,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.99,60,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000180,Cao Quoc Yen,2003-04-20,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.94,85,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000181,Ly Thanh Mai,2003-03-03,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,3.04,87,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000182,Duong Truc Cuong,2003-06-07,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,2.52,65,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000183,Mai Truc Quang,2003-02-28,Kinh te,Tai chinh Ngan hang,2025-2026,Hoc ky 2,2.61,55,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000184,Truong Ngoc Giang,2003-09-24,Kinh te,Ke toan,2025-2026,Hoc ky 1,3.66,74,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000185,Trinh Thanh Thao,2003-02-21,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.6,73,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000186,Mai Phuong Nhi,2003-03-28,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.94,78,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000187,Vo Phuong Nam,2003-02-05,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.84,94,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000188,Dinh Thi Giang,2003-08-30,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,2.37,80,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000189,Le Kim Khoa,2003-01-27,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,2.23,79,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000190,Dang Quoc Hang,2003-05-17,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,3.86,65,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000191,Tran Kim Vy,2003-09-25,Kinh te,Tai chinh Ngan hang,2025-2026,Hoc ky 1,3.04,72,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000192,Cao Van Phong,2003-02-28,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,3.62,78,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000193,Ngo Ngoc Linh,2003-09-13,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.25,91,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000194,Dinh Quoc Yen,2003-10-04,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,3.53,67,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000195,Phan Thanh An,2003-12-02,Kinh te,Marketing,2025-2026,Hoc ky 2,2.37,81,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000196,Tran Tuyet Dung,2003-12-16,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.86,64,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000197,Dang Tuyet Quang,2003-06-16,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.17,85,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000198,Mai Phuong Giang,2003-08-17,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,2.89,72,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000199,Truong Huu An,2003-05-17,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,2.65,99,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000200,Vo Quoc Mai,2003-02-22,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 1,2.84,96,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000201,Do Gia Phong,2003-01-11,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 1,3.09,87,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000202,Cao Van Quan,2003-09-01,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 1,3.89,83,Hoc bong Tai nang VHU,1,1,0,Khong dat,Vi pham ky luat trong hoc ky
211A000203,Huynh Thi Dung,2003-07-22,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,3.93,74,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000204,Ngo Truc Phong,2003-09-16,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.48,82,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000205,Bui Phuong Mai,2003-12-28,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,2.18,82,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
211A000206,Ly Minh Mai,2003-05-25,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,2.51,67,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000207,Truong Phuong Hang,2003-01-08,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.28,60,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000208,Dang Thi Mai,2003-06-09,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,2.8,66,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000209,Phan Kim Linh,2003-05-15,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.95,81,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000210,Vu Quoc Nam,2003-06-29,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.71,83,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000211,Tran Thi Cuong,2003-03-13,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,2.83,66,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000212,Truong Phuong Phong,2003-11-09,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.22,85,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000213,Pham Kim Lam,2003-01-16,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.16,84,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000214,Do Van Bich,2003-05-10,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.31,90,Hoc bong Khuyen khich Hoc tap,1,0,0,Dat,Dat HB KKHT Loai Gioi
211A000215,Dinh Viet Nam,2003-01-19,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,3.96,71,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000216,Pham Nhat Bich,2003-09-02,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,2.69,77,Hoc bong Khuyen khich Hoc tap,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000217,Phan Nhat Cuong,2003-05-01,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,2.58,93,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000218,Vo Phuong Giang,2003-05-28,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,3.34,96,Hoc bong Khuyen khich Hoc tap,1,0,0,Dat,Dat HB KKHT Loai Gioi
211A000219,Vu Tan Mai,2003-05-15,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.41,63,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000220,Nguyen Ngoc Khoa,2003-06-17,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,3.63,72,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000221,Phan Gia Cuong,2003-07-27,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,2.82,61,Hoc bong Dong hanh Vuot kho,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000222,Trinh Minh Bich,2003-05-01,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,3.0,83,Hoc bong Tai nang VHU,0,1,0,Khong dat,Vi pham ky luat trong hoc ky
211A000223,Dang Truc Quan,2003-07-10,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,3.12,57,Hoc bong Khuyen khich Hoc tap,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000224,Bui Gia Bich,2003-11-10,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.91,72,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000225,Vu Nhat Giang,2003-10-01,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.17,72,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000226,Huynh Minh Thao,2003-10-11,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 2,3.74,67,Hoc bong Dong hanh Vuot kho,1,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000227,Le Quoc Cuong,2003-04-04,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.82,82,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000228,Hoang Khanh Em,2003-10-08,Kinh te,Ke toan,2025-2026,Hoc ky 1,3.03,58,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000229,Le Gia Phong,2003-07-01,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.18,67,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
